type,niveau,categorie,secteur,label,parent,value_mmdh,is_total,year,source
recette,1,recettes_fiscales,,1 - Impôts directs et taxes assimilées,recettes_fiscales,165.6902,False,2026,Note-presentation_Fr p.29
recette,1,recettes_fiscales,,2 - Impôts indirects,recettes_fiscales,167.8896,False,2026,Note-presentation_Fr p.29
recette,1,recettes_fiscales,,3 - Droits de douane,recettes_fiscales,18.1802,False,2026,Note-presentation_Fr p.29
recette,1,recettes_fiscales,,4 - Droits d'enregistrement et de timbre,recettes_fiscales,24.3212,False,2026,Note-presentation_Fr p.29
recette,1,recettes_non_fiscales,,5 - Revenus du Domaine de l'Etat,recettes_non_fiscales,0.5995,False,2026,Note-presentation_Fr p.29
recette,1,recettes_non_fiscales,,"6 - Produits des monopoles, d'exploitations et des participations financières de l'Etat",recettes_non_fiscales,27.522,False,2026,Note-presentation_Fr p.29
recette,1,recettes_non_fiscales,,7 - Dons et Legs,recettes_non_fiscales,1.5,False,2026,Note-presentation_Fr p.29
recette,1,recettes_non_fiscales,,8 - Produits de Cession des Participations de l'Etat,recettes_non_fiscales,6.0,False,2026,Note-presentation_Fr p.29
recette,1,recettes_non_fiscales,,9 - Recettes diverses,recettes_non_fiscales,9.6224,False,2026,Note-presentation_Fr p.29
depense,2,fonctionnement,Souveraineté,ADMINISTRATION DE LA DEFENSE NATIONALE,fonctionnement,55.3195,False,2026,Note-presentation_Fr p.164
depense,2,investissement,Souveraineté,ADMINISTRATION DE LA DEFENSE NATIONALE,investissement,13.0,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Souveraineté,CHAMBRE DES CONSEILLERS,fonctionnement,0.5774,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Souveraineté,CHAMBRE DES CONSEILLERS,investissement,0.025,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Souveraineté,CHAMBRE DES REPRESENTANTS,fonctionnement,0.6484,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Souveraineté,CHAMBRE DES REPRESENTANTS,investissement,0.04,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Souveraineté,CHEF DU GOUVERNEMENT,fonctionnement,1.1415,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Souveraineté,CHEF DU GOUVERNEMENT,investissement,0.9241,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Autre,"CONSEIL ECONOMIQUE, SOCIAL ET ENVIRONNEMENTAL",fonctionnement,0.1362,False,2026,Note-presentation_Fr p.164
depense,2,investissement,Autre,"CONSEIL ECONOMIQUE, SOCIAL ET ENVIRONNEMENTAL",investissement,0.014,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Autre,CONSEIL NATIONAL DES DROITS DE L’HOMME,fonctionnement,0.2059,False,2026,Note-presentation_Fr p.164
depense,2,investissement,Autre,CONSEIL NATIONAL DES DROITS DE L’HOMME,investissement,0.014,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Souveraineté,CONSEIL SUPERIEUR DU POUVOIR JUDICIAIRE,fonctionnement,3.8,False,2026,Note-presentation_Fr p.164
depense,2,investissement,Souveraineté,CONSEIL SUPERIEUR DU POUVOIR JUDICIAIRE,investissement,0.2673,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Souveraineté,COUR ROYALE,fonctionnement,2.1858,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Souveraineté,COUR ROYALE,investissement,0.1316,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Souveraineté,DELEGATION GENERALE A L'ADMINISTRATION PENITENTIAIRE ET A LA REINSERTION,fonctionnement,4.3839,False,2026,Note-presentation_Fr p.164
depense,2,investissement,Souveraineté,DELEGATION GENERALE A L'ADMINISTRATION PENITENTIAIRE ET A LA REINSERTION,investissement,0.6,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Autre,DEPENSES IMPREVUES ET DOTATIONS PROVISIONNELLES,fonctionnement,3.4,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Autre,HAUT COMMISSARIAT AU PLAN,fonctionnement,0.5993,False,2026,Note-presentation_Fr p.164
depense,2,investissement,Autre,HAUT COMMISSARIAT AU PLAN,investissement,0.0276,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Souveraineté,HAUT COMMISSARIAT AUX ANCIENS RESISTANTS ET ANCIENS MEMBRES DE L'ARMEE DE LIBERATION,fonctionnement,0.1752,False,2026,Note-presentation_Fr p.164
depense,2,investissement,Souveraineté,HAUT COMMISSARIAT AUX ANCIENS RESISTANTS ET ANCIENS MEMBRES DE L'ARMEE DE LIBERATION,investissement,0.0185,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Autre,"INSTANCE NATIONALE DE LA PROBITÉ, DE LA PRÉVENTION ET DE LA LUTTE CONTRE LA CORRUPTION",fonctionnement,0.1163,False,2026,Note-presentation_Fr p.164
depense,2,investissement,Autre,"INSTANCE NATIONALE DE LA PROBITÉ, DE LA PRÉVENTION ET DE LA LUTTE CONTRE LA CORRUPTION",investissement,0.0388,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Souveraineté,JURIDICTIONS FINANCIERES,fonctionnement,0.6713,False,2026,Note-presentation_Fr p.163
