designation,lf_2024_mmdh,lf_2025_mmdh,variation_pct,part_2025_pct,source
Dépenses de Personnel,161.6234,180.2707,,,SLF-23 Fr-2025 p.20
Dépenses de Matériel et Dépenses Diverses,71.1583,80.2201,,,SLF-23 Fr-2025 p.20
Charges Communes,34.82,48.112,,,SLF-23 Fr-2025 p.20
"Remboursements, dégrèvements et restitutions fiscaux",9.6251,9.6683,,,SLF-23 Fr-2025 p.20
Dépenses imprévues et dotations provisionnelles,2.2,2.7,,,SLF-23 Fr-2025 p.20
TOTAL DEPENSES DE FONCTIONNEMENT,279.4267,320.9712,,,SLF-23 Fr-2025 p.20
DEPENSES D'INVESTISSEMENT,118.1084,128.5264,,,SLF-23 Fr-2025 p.20
TOTAL DES DEPENSES DU BUDGET GENERAL (HORS DETTE),397.5351,449.4975,,,SLF-23 Fr-2025 p.20
Dette Extérieure,29.1229,19.516,,,SLF-23 Fr-2025 p.20
Dette Intérieure,71.5063,87.7386,,,SLF-23 Fr-2025 p.20
TOTAL DEPENSES DE LA DETTE PUBLIQUE,100.6292,107.2546,,,SLF-23 Fr-2025 p.20
TOTAL DES DEPENSES DU BUDGET GENERAL,498.1643,556.7521,,,SLF-23 Fr-2025 p.20
