ministere,personnel_plf2026_mmdh,materiel_plf2026_mmdh,fonctionnement_plf2026_mmdh,invest_cp_plf2026_mmdh,invest_ce_plf2026_mmdh,source
SA MAJESTE LE ROI,0.0263,0.5172,0.5435,,,Note-presentation_Fr p.163
COUR ROYALE,0.6436,1.5422,2.1858,0.1316,,Note-presentation_Fr p.163
CHAMBRE DES REPRESENTANTS,0.4783,0.1701,0.6484,0.02,0.02,Note-presentation_Fr p.163
CHAMBRE DES CONSEILLERS,0.3652,0.2122,0.5774,0.025,,Note-presentation_Fr p.163
CHEF DU GOUVERNEMENT,0.2164,0.925,1.1415,0.9121,0.012,Note-presentation_Fr p.163
JURIDICTIONS FINANCIERES,0.5663,0.105,0.6713,0.08,0.01,Note-presentation_Fr p.163
MINISTERE DE LA JUSTICE,4.1209,0.3764,4.4974,0.2325,0.22,Note-presentation_Fr p.163
"MINISTERE DES AFFAIRES ÉTRANGÈRES, DE LA COOPÉRATION AFRICAINE ET DES MAROCAINS RÉSIDANT A L'ETRANGER",3.0414,1.6234,4.6648,0.44,0.04,Note-presentation_Fr p.163
MINISTERE DE L'INTERIEUR,39.8328,5.3672,45.1999,5.684,3.9828,Note-presentation_Fr p.163
"MINISTERE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE SCIENTIFIQUE ET DE L'INNOVATION",10.5403,4.9825,15.5228,1.7918,0.94,Note-presentation_Fr p.163
"MINISTERE DE L'EDUCATION NATIONALE, DU PRESCOLAIRE ET DES SPORTS",52.2856,38.722,91.0077,8.1541,5.204,Note-presentation_Fr p.163
MINISTERE DE LA SANTE ET DE LA PROTECTION SOCIALE,16.4228,11.4361,27.8589,14.4987,12.6851,Note-presentation_Fr p.163
MINISTERE DE L'ECONOMIE ET DES FINANCES,5.1069,0.6934,5.8003,0.3835,0.2327,Note-presentation_Fr p.163
MINISTERE DE L'ECONOMIE ET DES FINANCES- Charges communes,,,45.453,44.082,,Note-presentation_Fr p.163
"MINISTERE DE L'ECONOMIE ET DES FINANCES-REMBOURSEMENTS, DÉGRÈVEMENTS ET RESTITUTIONS, FISCAUX",,,9.6328,,,Note-presentation_Fr p.163
"MINISTERE DU TOURISME, DE L'ARTISANAT ET DE L'ECONOMIE SOCIALE ET SOLIDAIRE",0.3163,0.3032,0.6195,2.0053,0.057,Note-presentation_Fr p.163
SECRETARIAT GENERAL DU GOUVERNEMENT,0.1257,0.0347,0.1604,0.015,,Note-presentation_Fr p.163
MINISTERE DE L'EQUIPEMENT ET DE L'EAU,1.1236,0.6779,1.8015,18.3181,40.4483,Note-presentation_Fr p.163
MINISTERE DU TRANSPORT ET DE LA LOGISTIQUE,0.2209,0.1293,0.3502,1.7761,0.007,Note-presentation_Fr p.163
"MINISTERE DE L'AGRICULTURE, DE LA PECHE MARITIME, DU DEVELOPPEMENT RURAL ET DES EAUX ET FORETS",1.129,3.7681,4.8971,15.0183,6.7693,Note-presentation_Fr p.163
MINISTERE DES HABOUS ET DES AFFAIRES ISLAMIQUES,1.537,4.7348,6.2719,1.0302,0.9,Note-presentation_Fr p.163
"MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DE L'INVESTISSEMENT, DE LA CONVERGENCE ET DE L'EVALUATION DES POLITIQUES PUBLIQUES",0.0396,0.3546,0.3941,3.452,0.002,Note-presentation_Fr p.163
MINISTERE DE LA TRANSITION ENERGETIQUE ET DU DEVELOPPEMENT DURABLE,0.2653,0.3523,0.6176,0.1903,0.027,Note-presentation_Fr p.163
MINISTERE DE L'INDUSTRIE ET DU COMMERCE,0.2706,0.4302,0.7008,1.468,0.0409,Note-presentation_Fr p.163
"MINISTERE DE LA JEUNESSE, DE LA CULTURE ET DE LA COMMUNICATION",0.9544,2.7861,3.7404,2.3468,0.515,Note-presentation_Fr p.163
"MINISTERE DE L'INCLUSION ECONOMIQUE, DE LA PETITE ENTREPRISE, DE L'EMPLOI ET DES COMPETENCES",0.3882,1.4099,1.7981,0.5314,0.1635,Note-presentation_Fr p.164
MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DES RELATIONS AVEC LE PARLEMENT,0.0522,0.0424,0.0946,0.0333,,Note-presentation_Fr p.164
MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DE LA TRANSITION NUMERIQUE ET DE LA REFORME DE L'ADMINISRATION,0.1079,0.1433,0.2512,1.5792,,Note-presentation_Fr p.164
ADMINISTRATION DE LA DEFENSE NATIONALE,47.3875,7.932,55.3195,6.2,6.8,Note-presentation_Fr p.164
HAUT COMMISSARIAT AUX ANCIENS RESISTANTS ET ANCIENS MEMBRES DE L'ARMEE DE LIBERATION,0.085,0.0902,0.1752,0.0155,0.003,Note-presentation_Fr p.164
DEPENSES IMPREVUES ET DOTATIONS PROVISIONNELLES,,,3.4,,,Note-presentation_Fr p.164
HAUT COMMISSARIAT AU PLAN,0.389,0.2104,0.5993,0.0236,0.004,Note-presentation_Fr p.164
"MINISTERE DE L'AMENAGEMENT DU TERRITOIRE NATIONAL, DE L'URBANISME, DE L'HABITAT ET DE LA POLITIQUE DE LA VILLE",0.4207,0.9929,1.4136,4.7484,0.013,Note-presentation_Fr p.164
"MINISTERE DE LA SOLIDARITÉ, DE L'INSERTION SOCIALE ET DE LA FAMILLE",0.1108,0.7271,0.8379,0.3958,,Note-presentation_Fr p.164
DELEGATION GENERALE A L'ADMINISTRATION PENITENTIAIRE ET A LA REINSERTION,3.2552,1.1287,4.3839,0.2,0.4,Note-presentation_Fr p.164
