ministere,personnel_mmdh,materiel_mmdh,fonctionnement_mmdh,investissement_mmdh,source
Sa Majesté Le Roi,0.0263,0.5172,0.5435,,BCPLF2026 p.52
Cour Royale,0.6436,1.5422,2.1858,0.1316,BCPLF2026 p.52
Chambre Des Représentants,0.4783,0.1701,0.6484,0.02,BCPLF2026 p.52
Chambre Des Conseillers,0.3652,0.2122,0.5774,0.025,BCPLF2026 p.52
Chef Du Gouvernement,0.2164,0.925,1.1415,0.9121,BCPLF2026 p.52
Juridictions Financières,0.5663,0.105,0.6713,0.08,BCPLF2026 p.52
Ministère De La Justice,4.1209,0.3764,4.4974,0.2325,BCPLF2026 p.52
"Ministère Des Affaires Étrangères, De La Coopération Africaine Et Des Marocains Résidant A L'étranger",3.0414,1.6234,4.6648,0.44,BCPLF2026 p.52
Ministère De L'intérieur,39.8328,5.3672,45.1999,5.684,BCPLF2026 p.52
"Ministère De L'enseignement Supérieur, De La Recherche Scientifique Et De L'innovation",10.5403,4.9825,15.5228,1.7918,BCPLF2026 p.52
"Ministère De L'éducation Nationale, Du Préscolaire Et Des Sports",52.2856,38.722,91.0077,8.1541,BCPLF2026 p.52
Ministère De La Sante Et De La Protection Sociale,16.4228,11.4361,27.8589,14.4987,BCPLF2026 p.52
Ministère De L'économie Et Des Finances,5.1069,0.6934,5.8003,0.3835,BCPLF2026 p.53
Ministère De L'économie Et Des Finances- Charges communes,45.453,,45.453,44.082,BCPLF2026 p.53
"Ministère De L'économie Et Des Finances- Remboursements, dégrèvements et restitutions, fiscaux",9.6328,,9.6328,,BCPLF2026 p.53
"Ministère Du Tourisme, De L'artisanat Et De L'économie Sociale Et Solidaire",0.3163,0.3032,0.6195,2.0053,BCPLF2026 p.53
Secrétariat Général Du Gouvernement,0.1257,0.0347,0.1604,0.015,BCPLF2026 p.53
Ministère De L'équipement Et De L'eau,1.1236,0.6779,1.8015,18.3181,BCPLF2026 p.53
Ministère Du Transport Et De La Logistique,0.2209,0.1293,0.3502,1.7761,BCPLF2026 p.53
"Ministère De L'agriculture, De La Pèche Maritime, Du Développement Rural Et Des Eaux Et Forêts",1.129,3.7681,4.8971,15.0183,BCPLF2026 p.53
Ministère Des Habous Et Des Affaires Islamiques,1.537,4.7348,6.2719,1.0302,BCPLF2026 p.53
"Ministère Délégué Auprès Du Chef Du Gouvernement Charge De L'investissement, De La Convergence Et De L'évaluation Des Politiques Publiques",0.0396,0.3546,0.3941,3.452,BCPLF2026 p.53
Ministère De La Transition Energétique Et Du Développement Durable,0.2653,0.3523,0.6176,0.1903,BCPLF2026 p.53
Ministère De L'industrie Et Du Commerce,0.2706,0.4302,0.7008,1.468,BCPLF2026 p.53
"Ministère De La Jeunesse, De La Culture Et De La Communication",0.9544,2.7861,3.7404,2.3468,BCPLF2026 p.53
"Ministère De L'inclusion Economique, De La Petite Entreprise, De L'emploi Et Des Compétences",0.3882,1.4099,1.7981,0.5314,BCPLF2026 p.53
Ministère Délégué Auprès Du Chef Du Gouvernement Charge Des Relations Avec Le Parlement,0.0522,0.0424,0.0946,0.0333,BCPLF2026 p.53
Ministère Délégué Auprès Du Chef Du Gouvernement Charge De La Transition Numérique Et De La Réforme De L'administration,0.1079,0.1433,0.2512,1.5792,BCPLF2026 p.53
Administration De La Défense Nationale,47.3875,7.932,55.3195,6.2,BCPLF2026 p.53
Haut-Commissariat Aux Anciens Résistants Et Anciens Membres De L'armée De Libération,0.085,0.0902,0.1752,0.0155,BCPLF2026 p.53
Dépenses Imprévues Et Dotations Provisionnelles,3.4,,3.4,,BCPLF2026 p.53
Haut-Commissariat Au Plan,0.389,0.2104,0.5993,0.0236,BCPLF2026 p.54
"Ministère De L'aménagement Du Territoire National, De L'urbanisme, De L'habitat Et De La Politique De La Ville",0.4207,0.9929,1.4136,4.7484,BCPLF2026 p.54
"Ministère De La Solidarité, De L'insertion Sociale Et De La Famille",0.1108,0.7271,0.8379,0.3958,BCPLF2026 p.54
Délégation Générale A L'administration Pénitentiaire Et A La Réinsertion,3.2552,1.1287,4.3839,0.2,BCPLF2026 p.54
"Conseil Economique, Social Et Environnemental",0.0842,0.0521,0.1362,0.014,BCPLF2026 p.54
Conseil Supérieur Du Pouvoir Judiciaire,3.2419,0.5581,3.8,0.2673,BCPLF2026 p.54
Conseil National Des Droits De L’homme,0.1095,0.0964,0.2059,0.014,BCPLF2026 p.54
"Instance Nationale De La Probité, De La Prévention Et De La Lutte Contre La Corruption",0.07,0.0464,0.1163,0.0288,BCPLF2026 p.54
