designation,categorie,lf_2025_mmdh,plf_2026_mmdh,variation_pct,part_pct,is_total,source
1 - Impôts directs et taxes assimilées,recettes_fiscales,140.7352,165.6902,17.73,39.33,False,Note-presentation_Fr p.29
2 - Impôts indirects,recettes_fiscales,145.9537,167.8896,15.03,39.85,False,Note-presentation_Fr p.29
3 - Droits de douane,recettes_fiscales,21.0504,18.1802,-13.64,4.32,False,Note-presentation_Fr p.29
4 - Droits d'enregistrement et de timbre,recettes_fiscales,21.9797,24.3212,10.65,5.77,False,Note-presentation_Fr p.29
5 - Revenus du Domaine de l'Etat,recettes_non_fiscales,0.3545,0.5995,69.11,0.14,False,Note-presentation_Fr p.29
"6 - Produits des monopoles, d'exploitations et des participations financières de l'Etat",recettes_non_fiscales,22.5503,27.522,22.05,6.53,False,Note-presentation_Fr p.29
7 - Dons et Legs,recettes_non_fiscales,1.5,1.5,0.0,0.36,False,Note-presentation_Fr p.29
8 - Produits de Cession des Participations de l'Etat,recettes_non_fiscales,6.0,6.0,0.0,1.42,False,Note-presentation_Fr p.29
9 - Recettes diverses,recettes_non_fiscales,8.7169,9.6224,10.39,2.28,False,Note-presentation_Fr p.29
Total,total_recettes,368.8407,421.325,14.23,100.0,True,Note-presentation_Fr p.29
